Numero_Secuencial,Mesa_ID,Ruta,Estado
1,8004121,ACTAS_1000\acta_0001.jpg,OK
3,8004241,ACTAS_1000\acta_0003.jpg,OK
5,8004201,ACTAS_1000\acta_0005.jpg,OK
6,8004161,ACTAS_1000\acta_0006.jpg,OK
7,8004171,ACTAS_1000\acta_0007.jpg,OK
4,8004251,ACTAS_1000\acta_0004.jpg,OK
8,8004181,ACTAS_1000\acta_0008.jpg,OK
2,8004231,ACTAS_1000\acta_0002.jpg,OK
12,8004101,ACTAS_1000\acta_0012.jpg,OK
10,8004211,ACTAS_1000\acta_0010.jpg,OK
9,8004191,ACTAS_1000\acta_0009.jpg,OK
13,8004111,ACTAS_1000\acta_0013.jpg,OK
15,8004142,ACTAS_1000\acta_0015.jpg,OK
16,8004152,ACTAS_1000\acta_0016.jpg,OK
11,8004221,ACTAS_1000\acta_0011.jpg,OK
14,8004132,ACTAS_1000\acta_0014.jpg,OK
21,8004042,ACTAS_1000\acta_0021.jpg,OK
18,8004011,ACTAS_1000\acta_0018.jpg,OK
24,8003931,ACTAS_1000\acta_0024.jpg,OK
19,8004021,ACTAS_1000\acta_0019.jpg,OK
17,8004261,ACTAS_1000\acta_0017.jpg,OK
25,8003941,ACTAS_1000\acta_0025.jpg,OK
26,8003951,ACTAS_1000\acta_0026.jpg,OK
20,8004031,ACTAS_1000\acta_0020.jpg,OK
27,8003971,ACTAS_1000\acta_0027.jpg,OK
28,8003981,ACTAS_1000\acta_0028.jpg,OK
22,8004052,ACTAS_1000\acta_0022.jpg,OK
23,8003921,ACTAS_1000\acta_0023.jpg,OK
30,8003961,ACTAS_1000\acta_0030.jpg,OK
29,8003991,ACTAS_1000\acta_0029.jpg,OK
32,8004071,ACTAS_1000\acta_0032.jpg,OK
31,8004061,ACTAS_1000\acta_0031.jpg,OK
33,8004081,ACTAS_1000\acta_0033.jpg,OK
34,8004091,ACTAS_1000\acta_0034.jpg,OK
36,8000721,ACTAS_1000\acta_0036.jpg,OK
35,8004001,ACTAS_1000\acta_0035.jpg,OK
38,8003661,ACTAS_1000\acta_0038.jpg,OK
37,8003651,ACTAS_1000\acta_0037.jpg,OK
39,8003171,ACTAS_1000\acta_0039.jpg,OK
40,8003181,ACTAS_1000\acta_0040.jpg,OK
41,8003191,ACTAS_1000\acta_0041.jpg,OK
42,8003201,ACTAS_1000\acta_0042.jpg,OK
43,8003211,ACTAS_1000\acta_0043.jpg,OK
44,8003221,ACTAS_1000\acta_0044.jpg,OK
45,8003231,ACTAS_1000\acta_0045.jpg,OK
46,8003241,ACTAS_1000\acta_0046.jpg,OK
48,8000121,ACTAS_1000\acta_0048.jpg,OK
49,8000131,ACTAS_1000\acta_0049.jpg,OK
47,8003251,ACTAS_1000\acta_0047.jpg,OK
51,8000151,ACTAS_1000\acta_0051.jpg,OK
52,8000161,ACTAS_1000\acta_0052.jpg,OK
53,8001941,ACTAS_1000\acta_0053.jpg,OK
54,8001951,ACTAS_1000\acta_0054.jpg,OK
56,8001971,ACTAS_1000\acta_0056.jpg,OK
50,8000141,ACTAS_1000\acta_0050.jpg,OK
55,8001961,ACTAS_1000\acta_0055.jpg,OK
57,8001981,ACTAS_1000\acta_0057.jpg,OK
58,8001991,ACTAS_1000\acta_0058.jpg,OK
59,8002001,ACTAS_1000\acta_0059.jpg,OK
60,8002011,ACTAS_1000\acta_0060.jpg,OK
62,8002031,ACTAS_1000\acta_0062.jpg,OK
61,8002021,ACTAS_1000\acta_0061.jpg,OK
63,8002041,ACTAS_1000\acta_0063.jpg,OK
64,8002051,ACTAS_1000\acta_0064.jpg,OK
65,8002061,ACTAS_1000\acta_0065.jpg,OK
66,8002071,ACTAS_1000\acta_0066.jpg,OK
67,8002081,ACTAS_1000\acta_0067.jpg,OK
68,8002361,ACTAS_1000\acta_0068.jpg,OK
70,8002381,ACTAS_1000\acta_0070.jpg,OK
69,8002371,ACTAS_1000\acta_0069.jpg,OK
71,8002391,ACTAS_1000\acta_0071.jpg,OK
72,8002401,ACTAS_1000\acta_0072.jpg,OK
73,8002411,ACTAS_1000\acta_0073.jpg,OK
74,8000241,ACTAS_1000\acta_0074.jpg,OK
75,8000251,ACTAS_1000\acta_0075.jpg,OK
76,8000261,ACTAS_1000\acta_0076.jpg,OK
77,8000271,ACTAS_1000\acta_0077.jpg,OK
78,8000281,ACTAS_1000\acta_0078.jpg,OK
80,8000301,ACTAS_1000\acta_0080.jpg,OK
79,8000291,ACTAS_1000\acta_0079.jpg,OK
81,8000311,ACTAS_1000\acta_0081.jpg,OK
82,8000321,ACTAS_1000\acta_0082.jpg,OK
83,8000331,ACTAS_1000\acta_0083.jpg,OK
84,8000341,ACTAS_1000\acta_0084.jpg,OK
85,8000351,ACTAS_1000\acta_0085.jpg,OK
86,8000361,ACTAS_1000\acta_0086.jpg,OK
88,8000381,ACTAS_1000\acta_0088.jpg,OK
87,8000371,ACTAS_1000\acta_0087.jpg,OK
89,8000391,ACTAS_1000\acta_0089.jpg,OK
90,8000401,ACTAS_1000\acta_0090.jpg,OK
91,8000411,ACTAS_1000\acta_0091.jpg,OK
92,8000421,ACTAS_1000\acta_0092.jpg,OK
93,8003261,ACTAS_1000\acta_0093.jpg,OK
94,8003271,ACTAS_1000\acta_0094.jpg,OK
95,8003281,ACTAS_1000\acta_0095.jpg,OK
96,8003291,ACTAS_1000\acta_0096.jpg,OK
97,8003301,ACTAS_1000\acta_0097.jpg,OK
98,8003311,ACTAS_1000\acta_0098.jpg,OK
99,8003321,ACTAS_1000\acta_0099.jpg,OK
100,8003331,ACTAS_1000\acta_0100.jpg,OK
101,8003341,ACTAS_1000\acta_0101.jpg,OK
102,8003351,ACTAS_1000\acta_0102.jpg,OK
103,8003361,ACTAS_1000\acta_0103.jpg,OK
105,8003381,ACTAS_1000\acta_0105.jpg,OK
104,8003371,ACTAS_1000\acta_0104.jpg,OK
106,8003671,ACTAS_1000\acta_0106.jpg,OK
107,8003681,ACTAS_1000\acta_0107.jpg,OK
108,8003691,ACTAS_1000\acta_0108.jpg,OK
109,8002631,ACTAS_1000\acta_0109.jpg,OK
112,8002661,ACTAS_1000\acta_0112.jpg,OK
111,8002651,ACTAS_1000\acta_0111.jpg,OK
110,8002641,ACTAS_1000\acta_0110.jpg,OK
113,8002671,ACTAS_1000\acta_0113.jpg,OK
114,8002681,ACTAS_1000\acta_0114.jpg,OK
115,8002691,ACTAS_1000\acta_0115.jpg,OK
117,8002711,ACTAS_1000\acta_0117.jpg,OK
116,8002701,ACTAS_1000\acta_0116.jpg,OK
118,8002721,ACTAS_1000\acta_0118.jpg,OK
119,8002731,ACTAS_1000\acta_0119.jpg,OK
120,8002741,ACTAS_1000\acta_0120.jpg,OK
121,8002751,ACTAS_1000\acta_0121.jpg,OK
122,8002761,ACTAS_1000\acta_0122.jpg,OK
123,8002771,ACTAS_1000\acta_0123.jpg,OK
125,8002791,ACTAS_1000\acta_0125.jpg,OK
124,8002781,ACTAS_1000\acta_0124.jpg,OK
126,8001311,ACTAS_1000\acta_0126.jpg,OK
128,8001331,ACTAS_1000\acta_0128.jpg,OK
127,8001321,ACTAS_1000\acta_0127.jpg,OK
129,8001341,ACTAS_1000\acta_0129.jpg,OK
130,8001351,ACTAS_1000\acta_0130.jpg,OK
131,8001361,ACTAS_1000\acta_0131.jpg,OK
133,8001381,ACTAS_1000\acta_0133.jpg,OK
132,8001371,ACTAS_1000\acta_0132.jpg,OK
134,8001391,ACTAS_1000\acta_0134.jpg,OK
137,8000541,ACTAS_1000\acta_0137.jpg,OK
136,8001411,ACTAS_1000\acta_0136.jpg,OK
135,8001401,ACTAS_1000\acta_0135.jpg,OK
138,8000551,ACTAS_1000\acta_0138.jpg,OK
139,8000561,ACTAS_1000\acta_0139.jpg,OK
140,8000571,ACTAS_1000\acta_0140.jpg,OK
141,8000581,ACTAS_1000\acta_0141.jpg,OK
142,8000591,ACTAS_1000\acta_0142.jpg,OK
143,8000601,ACTAS_1000\acta_0143.jpg,OK
144,8000611,ACTAS_1000\acta_0144.jpg,OK
145,8000621,ACTAS_1000\acta_0145.jpg,OK
146,8000631,ACTAS_1000\acta_0146.jpg,OK
147,8000641,ACTAS_1000\acta_0147.jpg,OK
148,8000651,ACTAS_1000\acta_0148.jpg,OK
149,8000661,ACTAS_1000\acta_0149.jpg,OK
151,8000681,ACTAS_1000\acta_0151.jpg,OK
150,8000671,ACTAS_1000\acta_0150.jpg,OK
152,8000691,ACTAS_1000\acta_0152.jpg,OK
153,8000701,ACTAS_1000\acta_0153.jpg,OK
154,8000711,ACTAS_1000\acta_0154.jpg,OK
155,8002461,ACTAS_1000\acta_0155.jpg,OK
159,8001751,ACTAS_1000\acta_0159.jpg,OK
157,8002481,ACTAS_1000\acta_0157.jpg,OK
162,8001781,ACTAS_1000\acta_0162.jpg,OK
158,8001741,ACTAS_1000\acta_0158.jpg,OK
156,8002471,ACTAS_1000\acta_0156.jpg,OK
164,8000991,ACTAS_1000\acta_0164.jpg,OK
165,8001001,ACTAS_1000\acta_0165.jpg,OK
160,8001761,ACTAS_1000\acta_0160.jpg,OK
166,8001011,ACTAS_1000\acta_0166.jpg,OK
168,8001031,ACTAS_1000\acta_0168.jpg,OK
167,8001021,ACTAS_1000\acta_0167.jpg,OK
169,8001041,ACTAS_1000\acta_0169.jpg,OK
170,8001051,ACTAS_1000\acta_0170.jpg,OK
163,8001791,ACTAS_1000\acta_0163.jpg,OK
161,8001771,ACTAS_1000\acta_0161.jpg,OK
171,8001061,ACTAS_1000\acta_0171.jpg,OK
172,8001071,ACTAS_1000\acta_0172.jpg,OK
