Numero_Secuencial,Mesa_ID,Ruta,Estado
8,102704,ACTAS_EXTRANJERAS_1000\acta_extranjera_0008.jpg,OK
4,102664,ACTAS_EXTRANJERAS_1000\acta_extranjera_0004.jpg,OK
2,102644,ACTAS_EXTRANJERAS_1000\acta_extranjera_0002.jpg,OK
6,102684,ACTAS_EXTRANJERAS_1000\acta_extranjera_0006.jpg,OK
5,102674,ACTAS_EXTRANJERAS_1000\acta_extranjera_0005.jpg,OK
1,100014,ACTAS_EXTRANJERAS_1000\acta_extranjera_0001.jpg,OK
3,102654,ACTAS_EXTRANJERAS_1000\acta_extranjera_0003.jpg,OK
7,102694,ACTAS_EXTRANJERAS_1000\acta_extranjera_0007.jpg,OK
9,102714,ACTAS_EXTRANJERAS_1000\acta_extranjera_0009.jpg,OK
11,102734,ACTAS_EXTRANJERAS_1000\acta_extranjera_0011.jpg,OK
10,102724,ACTAS_EXTRANJERAS_1000\acta_extranjera_0010.jpg,OK
12,102744,ACTAS_EXTRANJERAS_1000\acta_extranjera_0012.jpg,OK
14,102764,ACTAS_EXTRANJERAS_1000\acta_extranjera_0014.jpg,OK
13,102754,ACTAS_EXTRANJERAS_1000\acta_extranjera_0013.jpg,OK
15,102774,ACTAS_EXTRANJERAS_1000\acta_extranjera_0015.jpg,OK
16,102784,ACTAS_EXTRANJERAS_1000\acta_extranjera_0016.jpg,OK
17,102794,ACTAS_EXTRANJERAS_1000\acta_extranjera_0017.jpg,OK
20,100724,ACTAS_EXTRANJERAS_1000\acta_extranjera_0020.jpg,OK
18,100704,ACTAS_EXTRANJERAS_1000\acta_extranjera_0018.jpg,OK
22,100744,ACTAS_EXTRANJERAS_1000\acta_extranjera_0022.jpg,OK
24,100514,ACTAS_EXTRANJERAS_1000\acta_extranjera_0024.jpg,OK
19,100714,ACTAS_EXTRANJERAS_1000\acta_extranjera_0019.jpg,OK
21,100734,ACTAS_EXTRANJERAS_1000\acta_extranjera_0021.jpg,OK
23,100754,ACTAS_EXTRANJERAS_1000\acta_extranjera_0023.jpg,OK
25,100524,ACTAS_EXTRANJERAS_1000\acta_extranjera_0025.jpg,OK
26,100534,ACTAS_EXTRANJERAS_1000\acta_extranjera_0026.jpg,OK
27,100544,ACTAS_EXTRANJERAS_1000\acta_extranjera_0027.jpg,OK
29,100564,ACTAS_EXTRANJERAS_1000\acta_extranjera_0029.jpg,OK
28,100554,ACTAS_EXTRANJERAS_1000\acta_extranjera_0028.jpg,OK
31,100584,ACTAS_EXTRANJERAS_1000\acta_extranjera_0031.jpg,OK
32,101904,ACTAS_EXTRANJERAS_1000\acta_extranjera_0032.jpg,OK
30,100574,ACTAS_EXTRANJERAS_1000\acta_extranjera_0030.jpg,OK
33,101914,ACTAS_EXTRANJERAS_1000\acta_extranjera_0033.jpg,OK
36,101944,ACTAS_EXTRANJERAS_1000\acta_extranjera_0036.jpg,OK
34,101924,ACTAS_EXTRANJERAS_1000\acta_extranjera_0034.jpg,OK
35,101934,ACTAS_EXTRANJERAS_1000\acta_extranjera_0035.jpg,OK
39,101894,ACTAS_EXTRANJERAS_1000\acta_extranjera_0039.jpg,OK
37,101874,ACTAS_EXTRANJERAS_1000\acta_extranjera_0037.jpg,OK
38,101884,ACTAS_EXTRANJERAS_1000\acta_extranjera_0038.jpg,OK
40,103414,ACTAS_EXTRANJERAS_1000\acta_extranjera_0040.jpg,OK
41,103424,ACTAS_EXTRANJERAS_1000\acta_extranjera_0041.jpg,OK
43,103444,ACTAS_EXTRANJERAS_1000\acta_extranjera_0043.jpg,OK
42,103434,ACTAS_EXTRANJERAS_1000\acta_extranjera_0042.jpg,OK
45,103464,ACTAS_EXTRANJERAS_1000\acta_extranjera_0045.jpg,OK
44,103454,ACTAS_EXTRANJERAS_1000\acta_extranjera_0044.jpg,OK
46,103474,ACTAS_EXTRANJERAS_1000\acta_extranjera_0046.jpg,OK
47,103484,ACTAS_EXTRANJERAS_1000\acta_extranjera_0047.jpg,OK
48,103494,ACTAS_EXTRANJERAS_1000\acta_extranjera_0048.jpg,OK
52,100144,ACTAS_EXTRANJERAS_1000\acta_extranjera_0052.jpg,OK
50,100124,ACTAS_EXTRANJERAS_1000\acta_extranjera_0050.jpg,OK
51,100134,ACTAS_EXTRANJERAS_1000\acta_extranjera_0051.jpg,OK
49,103504,ACTAS_EXTRANJERAS_1000\acta_extranjera_0049.jpg,OK
53,100154,ACTAS_EXTRANJERAS_1000\acta_extranjera_0053.jpg,OK
54,100164,ACTAS_EXTRANJERAS_1000\acta_extranjera_0054.jpg,OK
55,100174,ACTAS_EXTRANJERAS_1000\acta_extranjera_0055.jpg,OK
56,100184,ACTAS_EXTRANJERAS_1000\acta_extranjera_0056.jpg,OK
61,100324,ACTAS_EXTRANJERAS_1000\acta_extranjera_0061.jpg,OK
58,100294,ACTAS_EXTRANJERAS_1000\acta_extranjera_0058.jpg,OK
57,100284,ACTAS_EXTRANJERAS_1000\acta_extranjera_0057.jpg,OK
59,100304,ACTAS_EXTRANJERAS_1000\acta_extranjera_0059.jpg,OK
60,100314,ACTAS_EXTRANJERAS_1000\acta_extranjera_0060.jpg,OK
62,100334,ACTAS_EXTRANJERAS_1000\acta_extranjera_0062.jpg,OK
64,100444,ACTAS_EXTRANJERAS_1000\acta_extranjera_0064.jpg,OK
63,100344,ACTAS_EXTRANJERAS_1000\acta_extranjera_0063.jpg,OK
65,100454,ACTAS_EXTRANJERAS_1000\acta_extranjera_0065.jpg,OK
66,100464,ACTAS_EXTRANJERAS_1000\acta_extranjera_0066.jpg,OK
67,100474,ACTAS_EXTRANJERAS_1000\acta_extranjera_0067.jpg,OK
68,100484,ACTAS_EXTRANJERAS_1000\acta_extranjera_0068.jpg,OK
70,100504,ACTAS_EXTRANJERAS_1000\acta_extranjera_0070.jpg,OK
69,100494,ACTAS_EXTRANJERAS_1000\acta_extranjera_0069.jpg,OK
71,100354,ACTAS_EXTRANJERAS_1000\acta_extranjera_0071.jpg,OK
72,100364,ACTAS_EXTRANJERAS_1000\acta_extranjera_0072.jpg,OK
78,100424,ACTAS_EXTRANJERAS_1000\acta_extranjera_0078.jpg,OK
73,100374,ACTAS_EXTRANJERAS_1000\acta_extranjera_0073.jpg,OK
77,100414,ACTAS_EXTRANJERAS_1000\acta_extranjera_0077.jpg,OK
79,100434,ACTAS_EXTRANJERAS_1000\acta_extranjera_0079.jpg,OK
74,100384,ACTAS_EXTRANJERAS_1000\acta_extranjera_0074.jpg,OK
76,100404,ACTAS_EXTRANJERAS_1000\acta_extranjera_0076.jpg,OK
82,100044,ACTAS_EXTRANJERAS_1000\acta_extranjera_0082.jpg,OK
80,100024,ACTAS_EXTRANJERAS_1000\acta_extranjera_0080.jpg,OK
81,100034,ACTAS_EXTRANJERAS_1000\acta_extranjera_0081.jpg,OK
75,100394,ACTAS_EXTRANJERAS_1000\acta_extranjera_0075.jpg,OK
83,100054,ACTAS_EXTRANJERAS_1000\acta_extranjera_0083.jpg,OK
84,100064,ACTAS_EXTRANJERAS_1000\acta_extranjera_0084.jpg,OK
85,100074,ACTAS_EXTRANJERAS_1000\acta_extranjera_0085.jpg,OK
86,100084,ACTAS_EXTRANJERAS_1000\acta_extranjera_0086.jpg,OK
88,100104,ACTAS_EXTRANJERAS_1000\acta_extranjera_0088.jpg,OK
89,100114,ACTAS_EXTRANJERAS_1000\acta_extranjera_0089.jpg,OK
